Name,Type,Calories,Proteins,Fats,Carbs,Meal_Type,Category
"Lemon rice (Pulihora, Elumichai sadam, Chitranna)",Veg,176.3,4.26,7.88,21.62,Lunch,RiceSide
"Lemon rice (Pulihora, Elumichai sadam, Chitranna)",Veg,176.3,4.26,7.88,21.62,Dinner,RiceSide
Sweet rice (Meethe chawal),Veg,215.41,2.1,4.57,42.59,Snack,Snack
Curd rice (Dahi bhaat/Dahi chawal/ Perugu annam/Daddojanam/Thayir saadam),Veg,195.74,5.75,4.32,32.93,Side,Side
Tamarind rice (Chintapandu pulihora/Puliyodharai/Puli sadam/Huli anna),Veg,373.04,7.45,8.53,65.08,Lunch,RiceSide
Tamarind rice (Chintapandu pulihora/Puliyodharai/Puli sadam/Huli anna),Veg,373.04,7.45,8.53,65.08,Dinner,RiceSide
Spanish rice,Veg,164.24,4.19,2.23,31.1,Lunch,RiceSide
Spanish rice,Veg,164.24,4.19,2.23,31.1,Dinner,RiceSide
Chinese fried rice,Veg,120.58,4.05,5.43,13.4,Lunch,Complete
Chinese fried rice,Veg,120.58,4.05,5.43,13.4,Dinner,Complete
Macroni cheese pie,Veg,170.63,5.85,7.48,21.1,Snack,Snack
Vegetable chowmein,Veg,129.71,3.07,6.36,15.44,Lunch,Complete
Vegetable chowmein,Veg,129.71,3.07,6.36,15.44,Dinner,Complete
Chicken chowmein,Non-Veg,151.33,6.33,8.23,13.3,Lunch,Complete
Chicken chowmein,Non-Veg,151.33,6.33,8.23,13.3,Dinner,Complete
Cheese noodle ring,Veg,133.67,6.22,6.12,13.96,Lunch,Complete
Cheese noodle ring,Veg,133.67,6.22,6.12,13.96,Dinner,Complete
Spaghetti and cheese balls in tomato sauce,Veg,508.32,2.41,52.08,7.82,Lunch,Complete
Spaghetti and cheese balls in tomato sauce,Veg,508.32,2.41,52.08,7.82,Dinner,Complete
Penne platter,Veg,177.4,5.04,8.71,20.87,Snack,Snack
Pasta hot pot,Veg,125.17,5.84,6.47,11.6,Lunch,Complete
Pasta hot pot,Veg,125.17,5.84,6.47,11.6,Dinner,Complete
Chicken lasagne,Non-Veg,187.49,10.45,10.36,13.9,Lunch,Complete
Chicken lasagne,Non-Veg,187.49,10.45,10.36,13.9,Dinner,Complete
Naan,Veg,286.45,8.05,4.99,51.75,Breakfast,Breakfast
Bhatura,Veg,793.2,1.63,82.56,10.73,Breakfast,Breakfast
Idli,Veg,137.54,4.64,0.33,28.18,Breakfast,Breakfast
Masala dosa,Veg,164.58,3.29,7.84,19.57,Breakfast,Breakfast
Semolina dosa (Suji/Rava dosa),Veg,227.05,7.3,7.12,32.84,Breakfast,Breakfast
Onion tomato uttapam,Veg,462.02,1.91,45.3,11.32,Snack,Snack
Paneer kaathi roll,Veg,285.94,6.92,19.55,20.1,Snack,Snack
Makki ki roti,Veg,263.97,3.49,16.85,24.19,Breakfast,Breakfast
Washed moong dal (Dhuli moong ki dal),Veg,50.0,2.68,1.68,5.91,Lunch,Gravy
Washed moong dal (Dhuli moong ki dal),Veg,50.0,2.68,1.68,5.91,Dinner,Gravy
Washed urad dal (Dhuli urad ki dal),Veg,61.32,2.51,2.98,5.84,Lunch,Gravy
Washed urad dal (Dhuli urad ki dal),Veg,61.32,2.51,2.98,5.84,Dinner,Gravy
Split bengal gram with bottle gourd (Channa dal with ghiya/lauki),Veg,73.25,2.79,3.6,7.1,Lunch,Gravy
Split bengal gram with bottle gourd (Channa dal with ghiya/lauki),Veg,73.25,2.79,3.6,7.1,Dinner,Gravy
Dry washed urad,Veg,124.71,6.85,3.5,15.66,Lunch,Dry
Dry washed urad,Veg,124.71,6.85,3.5,15.66,Dinner,Dry
Mixed dal,Veg,61.93,2.51,3.1,5.79,Lunch,Gravy
Mixed dal,Veg,61.93,2.51,3.1,5.79,Dinner,Gravy
Whole moong (Moong ki dal),Veg,53.7,2.25,2.56,5.22,Lunch,Gravy
Whole moong (Moong ki dal),Veg,53.7,2.25,2.56,5.22,Dinner,Gravy
Whole masoor (Masoor ki dal),Veg,54.05,2.28,2.52,5.37,Lunch,Gravy
Whole masoor (Masoor ki dal),Veg,54.05,2.28,2.52,5.37,Dinner,Gravy
Whole moth (Moth ki dal),Veg,55.0,2.01,2.62,5.74,Lunch,Gravy
Whole moth (Moth ki dal),Veg,55.0,2.01,2.62,5.74,Dinner,Gravy
Whole urad (Urad ki dal),Veg,53.8,2.21,2.62,5.05,Lunch,Gravy
Whole urad (Urad ki dal),Veg,53.8,2.21,2.62,5.05,Dinner,Gravy
Moti mahal dal (Urad rajmah mix dal),Veg,103.13,3.93,5.66,8.74,Lunch,Gravy
Moti mahal dal (Urad rajmah mix dal),Veg,103.13,3.93,5.66,8.74,Dinner,Gravy
Black channa curry/Bengal gram curry (Kale chane ki curry),Veg,140.68,5.67,6.61,14.11,Lunch,Gravy
Black channa curry/Bengal gram curry (Kale chane ki curry),Veg,140.68,5.67,6.61,14.11,Dinner,Gravy
Chickpeas curry (Safed channa curry),Veg,163.43,6.1,6.84,19.98,Lunch,Gravy
Chickpeas curry (Safed channa curry),Veg,163.43,6.1,6.84,19.98,Dinner,Gravy
Lobia curry,Veg,148.99,6.06,5.62,17.88,Lunch,Gravy
Lobia curry,Veg,148.99,6.06,5.62,17.88,Dinner,Gravy
Soyabean curry,Veg,163.28,10.43,10.19,6.76,Lunch,Gravy
Soyabean curry,Veg,163.28,10.43,10.19,6.76,Dinner,Gravy
Kidney bean curry (Rajmah curry),Veg,143.73,5.95,5.77,16.38,Lunch,Gravy
Kidney bean curry (Rajmah curry),Veg,143.73,5.95,5.77,16.38,Dinner,Gravy
Sambar,Veg,96.92,3.35,4.38,10.57,Snack,Snack
Besan kadhi with pakodies,Veg,403.35,1.64,42.59,3.56,Lunch,Gravy
Besan kadhi with pakodies,Veg,403.35,1.64,42.59,3.56,Dinner,Gravy
Khatta channa,Veg,202.57,6.3,10.56,21.14,Snack,Snack
Sprouted moong dal chat,Veg,32.47,1.35,0.32,6.01,Lunch,Gravy
Sprouted moong dal chat,Veg,32.47,1.35,0.32,6.01,Dinner,Gravy
Potato cauliflower (Aloo gobhi),Veg,106.18,1.9,8.13,5.99,Lunch,Dry
Potato cauliflower (Aloo gobhi),Veg,106.18,1.9,8.13,5.99,Dinner,Dry
Potato capsicum (Shimla mirch aloo),Veg,125.53,1.41,9.33,8.72,Lunch,Dry
Potato capsicum (Shimla mirch aloo),Veg,125.53,1.41,9.33,8.72,Dinner,Dry
Cabbage and peas (Pattagobhi aur matar),Veg,63.88,3.24,2.64,6.24,Lunch,Dry
Cabbage and peas (Pattagobhi aur matar),Veg,63.88,3.24,2.64,6.24,Dinner,Dry
Carrot and fenugreek leaves (Gajar methi),Veg,61.92,2.1,3.81,4.17,Lunch,Dry
Carrot and fenugreek leaves (Gajar methi),Veg,61.92,2.1,3.81,4.17,Dinner,Dry
Potato fenugreek (Aloo methi),Veg,135.15,2.25,10.04,8.47,Lunch,Dry
Potato fenugreek (Aloo methi),Veg,135.15,2.25,10.04,8.47,Dinner,Dry
Brinjal bhartha (Baingan ka bhartha),Veg,65.12,1.38,4.48,4.4,Lunch,Dry
Brinjal bhartha (Baingan ka bhartha),Veg,65.12,1.38,4.48,4.4,Dinner,Dry
Dry potato (Sookhe aloo),Veg,103.15,1.62,4.18,14.38,Lunch,Dry
Dry potato (Sookhe aloo),Veg,103.15,1.62,4.18,14.38,Dinner,Dry
Beans with coconut (Nariyal aur sem/phali; Beans thoran),Veg,131.63,2.62,11.39,4.39,Lunch,Dry
Beans with coconut (Nariyal aur sem/phali; Beans thoran),Veg,131.63,2.62,11.39,4.39,Dinner,Dry
Cauliflower with coconut (Nariyal ke saath phoolgobhi),Veg,132.11,2.64,11.56,3.99,Snack,Snack
Carrot and cabbage with coconut (Nariyal ke saath pattagobhi aur gajar),Veg,106.61,1.82,8.62,4.99,Lunch,Dry
Carrot and cabbage with coconut (Nariyal ke saath pattagobhi aur gajar),Veg,106.61,1.82,8.62,4.99,Dinner,Dry
Stuffed okra (Bharwa bhindi),Veg,94.34,2.08,7.66,3.85,Lunch,Dry
Stuffed okra (Bharwa bhindi),Veg,94.34,2.08,7.66,3.85,Dinner,Dry
Stuffed round gourd (Bharwa tinde),Veg,72.8,1.1,5.75,4.02,Snack,Snack
Stuffed capsicum (Bharwa shimla mirch),Veg,90.94,1.34,5.7,8.26,Lunch,Dry
Stuffed capsicum (Bharwa shimla mirch),Veg,90.94,1.34,5.7,8.26,Dinner,Dry
Stuffed brinjal (Bharwa baingan),Veg,93.0,1.53,7.73,3.96,Lunch,Dry
Stuffed brinjal (Bharwa baingan),Veg,93.0,1.53,7.73,3.96,Dinner,Dry
Stuffed tomatoes (Bharwa tamatar),Veg,93.35,3.28,6.06,6.19,Snack,Snack
Pea potato curry (Aloo matar),Veg,100.92,3.48,5.13,9.74,Lunch,Gravy
Pea potato curry (Aloo matar),Veg,100.92,3.48,5.13,9.74,Dinner,Gravy
Pea paneer curry (Matar paneer),Veg,134.83,6.61,7.75,9.29,Lunch,Gravy
Pea paneer curry (Matar paneer),Veg,134.83,6.61,7.75,9.29,Dinner,Gravy
Pea mushroom curry (Matar mushroom),Veg,93.3,3.87,5.16,7.41,Lunch,Gravy
Pea mushroom curry (Matar mushroom),Veg,93.3,3.87,5.16,7.41,Dinner,Gravy
Pea curry (Matar ki sabzi),Veg,102.99,4.51,5.11,9.2,Lunch,Gravy
Pea curry (Matar ki sabzi),Veg,102.99,4.51,5.11,9.2,Dinner,Gravy
Pea vadi curry,Veg,101.95,4.64,5.08,8.9,Lunch,Gravy
Pea vadi curry,Veg,101.95,4.64,5.08,8.9,Dinner,Gravy
Paneer curry,Veg,176.52,7.8,12.38,8.4,Lunch,Gravy
Paneer curry,Veg,176.52,7.8,12.38,8.4,Dinner,Gravy
Lotus stem curry (Kamal kakdi curry),Veg,110.34,1.53,7.25,9.24,Lunch,Gravy
Lotus stem curry (Kamal kakdi curry),Veg,110.34,1.53,7.25,9.24,Dinner,Gravy
Gravy for kofta,Veg,125.59,1.75,10.35,6.31,Lunch,Gravy
Gravy for kofta,Veg,125.59,1.75,10.35,6.31,Dinner,Gravy
Pea kofta curry (Matar kofta curry),Veg,595.66,2.01,63.39,4.17,Lunch,Gravy
Pea kofta curry (Matar kofta curry),Veg,595.66,2.01,63.39,4.17,Dinner,Gravy
Spinach kofta curry (Palak kofta curry),Veg,571.78,1.09,61.49,3.56,Lunch,Gravy
Spinach kofta curry (Palak kofta curry),Veg,571.78,1.09,61.49,3.56,Dinner,Gravy
Paneer kofta curry,Veg,670.91,2.39,72.06,3.27,Lunch,Gravy
Paneer kofta curry,Veg,670.91,2.39,72.06,3.27,Dinner,Gravy
Lotus stem kofta curry (Kamal kakdi kofta curry),Veg,633.56,0.96,67.76,5.01,Lunch,Gravy
Lotus stem kofta curry (Kamal kakdi kofta curry),Veg,633.56,0.96,67.76,5.01,Dinner,Gravy
Cauliflower kofta curry (Phoolgobhi kofta curry),Veg,641.1,1.04,69.62,2.62,Lunch,Gravy
Cauliflower kofta curry (Phoolgobhi kofta curry),Veg,641.1,1.04,69.62,2.62,Dinner,Gravy
Cabbage kofta curry (Pattagobhi kofta curry),Veg,639.81,0.98,69.4,2.87,Lunch,Gravy
Cabbage kofta curry (Pattagobhi kofta curry),Veg,639.81,0.98,69.4,2.87,Dinner,Gravy
Ghiya/Lauki Kofta Curry,Veg,638.71,0.89,69.4,2.71,Lunch,Gravy
Ghiya/Lauki Kofta Curry,Veg,638.71,0.89,69.4,2.71,Dinner,Gravy
Spinach paneer kofta curry (Palak paneer kofta curry),Veg,606.03,1.43,65.41,2.94,Lunch,Gravy
Spinach paneer kofta curry (Palak paneer kofta curry),Veg,606.03,1.43,65.41,2.94,Dinner,Gravy
Vegetarian egg kofta curry,Non-Veg,627.41,1.33,67.24,4.26,Lunch,Gravy
Vegetarian egg kofta curry,Non-Veg,627.41,1.33,67.24,4.26,Dinner,Gravy
Baked vegetables,Veg,88.99,3.67,4.44,8.44,Snack,Snack
Cauliflower musallam (Phoolgobhi musallam),Veg,58.83,1.89,3.55,4.48,Snack,Snack
Baked vegetables with spinach ,Veg,77.79,3.22,4.03,6.93,Snack,Snack
Baked potato with skin ,Veg,135.77,3.43,8.5,11.11,Snack,Snack
Shepherd's pie (vegetarian),Veg,135.63,5.04,7.3,12.03,Snack,Snack
Dum aloo,Veg,682.33,0.7,74.01,3.33,Lunch,Dry
Dum aloo,Veg,682.33,0.7,74.01,3.33,Dinner,Dry
Spinach paneer (Palak paneer),Veg,77.68,4.03,4.76,4.43,Lunch,Gravy
Spinach paneer (Palak paneer),Veg,77.68,4.03,4.76,4.43,Dinner,Gravy
Methi chaman,Non-Veg,475.62,1.54,50.91,2.78,Lunch,Dry
