Name,Type,Calories,Proteins,Fats,Carbs,Meal_Type,Category
Vegetable yakhni,Veg,406.06,1.18,43.8,1.94,Snack,Snack
Spinach mushroom (Palak mushroom),Veg,47.63,1.94,2.96,2.95,Lunch,Dry
Spinach mushroom (Palak mushroom),Veg,47.63,1.94,2.96,2.95,Dinner,Dry
Vegetarian nargisi kofta curry,Veg,332.15,2.29,32.94,6.58,Lunch,Gravy
Vegetarian nargisi kofta curry,Veg,332.15,2.29,32.94,6.58,Dinner,Gravy
Roast chicken,Non-Veg,199.9,20.49,13.06,0.1,Lunch,Gravy
Roast chicken,Non-Veg,199.9,20.49,13.06,0.1,Dinner,Gravy
Shahi chicken masala,Non-Veg,163.7,9.82,12.02,4.07,Lunch,Gravy
Shahi chicken masala,Non-Veg,163.7,9.82,12.02,4.07,Dinner,Gravy
Tomato chicken,Non-Veg,111.68,10.57,6.71,2.13,Lunch,Gravy
Tomato chicken,Non-Veg,111.68,10.57,6.71,2.13,Dinner,Gravy
Creamy chicken,Non-Veg,152.87,13.52,9.57,3.13,Lunch,Gravy
Creamy chicken,Non-Veg,152.87,13.52,9.57,3.13,Dinner,Gravy
Broccoli chicken ala king,Non-Veg,119.56,7.97,7.57,5.34,Lunch,Gravy
Broccoli chicken ala king,Non-Veg,119.56,7.97,7.57,5.34,Dinner,Gravy
Ginger chicken,Non-Veg,129.17,8.24,8.24,5.6,Lunch,Gravy
Ginger chicken,Non-Veg,129.17,8.24,8.24,5.6,Dinner,Gravy
Chicken sweet and sour,Non-Veg,445.09,6.92,47.59,2.67,Snack,Snack
Chicken korma,Non-Veg,147.96,9.83,9.67,5.43,Lunch,Gravy
Chicken korma,Non-Veg,147.96,9.83,9.67,5.43,Dinner,Gravy
Bengal fish curry (Bengali machli curry),Non-Veg,109.43,7.26,7.03,4.42,Lunch,Gravy
Bengal fish curry (Bengali machli curry),Non-Veg,109.43,7.26,7.03,4.42,Dinner,Gravy
Fish finger,Non-Veg,542.9,5.66,55.82,4.47,Lunch,Gravy
Fish finger,Non-Veg,542.9,5.66,55.82,4.47,Dinner,Gravy
Fish in coconut milk (Nariyal ke doodh ke saath machli),Non-Veg,86.21,8.66,4.43,2.73,Side,Beverage
Baked stuffed fish,Non-Veg,121.96,16.14,5.43,2.12,Lunch,Gravy
Baked stuffed fish,Non-Veg,121.96,16.14,5.43,2.12,Dinner,Gravy
Fish pie,Non-Veg,120.9,9.25,5.77,7.74,Snack,Snack
Crispy baked fish,Non-Veg,138.4,10.95,6.41,9.59,Lunch,Gravy
Crispy baked fish,Non-Veg,138.4,10.95,6.41,9.59,Dinner,Gravy
Fish souffle,Non-Veg,139.71,10.51,8.55,5.14,Lunch,Gravy
Fish souffle,Non-Veg,139.71,10.51,8.55,5.14,Dinner,Gravy
Potato curry (Aloo ki sabzi),Veg,89.56,1.52,4.47,10.42,Lunch,Gravy
Potato curry (Aloo ki sabzi),Veg,89.56,1.52,4.47,10.42,Dinner,Gravy
Egg curry (Anda curry),Non-Veg,117.52,5.38,8.81,4.03,Lunch,Gravy
Egg curry (Anda curry),Non-Veg,117.52,5.38,8.81,4.03,Dinner,Gravy
Vegetable curry with coconut ,Veg,83.07,2.77,4.66,7.19,Lunch,Gravy
Vegetable curry with coconut ,Veg,83.07,2.77,4.66,7.19,Dinner,Gravy
Curd with potatoes (Dahi aloo),Veg,59.9,1.56,2.72,7.15,Side,Side
Potato kofta curry (Aloo kofta curry),Veg,455.4,0.56,49.08,2.78,Lunch,Gravy
Potato kofta curry (Aloo kofta curry),Veg,455.4,0.56,49.08,2.78,Dinner,Gravy
Yam kofta curry (Zimikand/Suran kofta curry),Veg,322.88,0.71,33.84,3.75,Lunch,Gravy
Yam kofta curry (Zimikand/Suran kofta curry),Veg,322.88,0.71,33.84,3.75,Dinner,Gravy
Jackfruit kofta curry (Kathal ka kofta curry),Veg,321.08,0.8,33.83,3.17,Lunch,Gravy
Jackfruit kofta curry (Kathal ka kofta curry),Veg,321.08,0.8,33.83,3.17,Dinner,Gravy
Spinach and potato (Palak aloo),Veg,57.17,1.63,2.82,5.91,Lunch,Dry
Spinach and potato (Palak aloo),Veg,57.17,1.63,2.82,5.91,Dinner,Dry
Mooli bhujia,Veg,91.2,1.69,7.25,4.74,Snack,Snack
Bathua bhujia,Veg,90.9,2.26,7.29,3.63,Snack,Snack
Cabbage rolls (dry) ((Pattagobhi rolls) (dry)),Veg,142.48,8.21,9.36,6.09,Snack,Snack
Cabbage rolls (curry) ((Pattagobhi rolls)(curry)),Veg,124.63,5.76,8.17,7.03,Snack,Snack
Dry arbi (Sookhi arbi),Veg,134.95,2.12,8.97,11.11,Lunch,Dry
Dry arbi (Sookhi arbi),Veg,134.95,2.12,8.97,11.11,Dinner,Dry
Peas brinjal bhartha (Matar baingan bhartha),Veg,84.55,2.05,6.05,5.02,Lunch,Dry
Peas brinjal bhartha (Matar baingan bhartha),Veg,84.55,2.05,6.05,5.02,Dinner,Dry
Okra/Lady's fingers fry (Bhindi sabzi/sabji/subji),Veg,110.81,1.83,9.27,4.5,Snack,Snack
Crispy okra/Crispy lady's fingers (Karare bhindi),Veg,657.76,1.91,70.4,4.35,Snack,Snack
Beans foogath,Veg,105.06,2.03,9.22,3.26,Lunch,Dry
Beans foogath,Veg,105.06,2.03,9.22,3.26,Dinner,Dry
Stuffed bittergourd (wet) (Bharwa karele),Veg,162.36,1.36,15.24,4.68,Snack,Snack
Jackfruit/Kathal (dry),Veg,488.97,0.93,51.78,4.56,Lunch,Dry
Jackfruit/Kathal (dry),Veg,488.97,0.93,51.78,4.56,Dinner,Dry
Yam fried (Zimikand/Suran fried),Veg,491.76,0.79,51.79,5.47,Snack,Snack
"Cauliflower, pea and potato bhujia (Phoolgobhi, matar aur aloo bhujia)",Veg,95.67,2.75,5.54,8.23,Snack,Snack
Vegetable jalfrezi,Veg,68.48,1.4,4.38,5.43,Snack,Snack
Vegetables stir fry ,Veg,30.78,1.04,1.47,3.19,Lunch,Dry
Vegetables stir fry ,Veg,30.78,1.04,1.47,3.19,Dinner,Dry
Broccoli delight,Veg,40.7,2.49,2.48,2.34,Snack,Snack
Dhansak (vegetarian),Veg,82.8,3.32,4.18,7.28,Snack,Snack
Cauliflower basket,Veg,90.95,5.21,5.88,3.97,Snack,Snack
Stuffed bottle gourd (Stuffed ghiya/lauki),Veg,93.19,5.84,5.8,4.36,Snack,Snack
Ducheese potato,Veg,140.54,3.6,9.01,10.94,Snack,Snack
Roast potatoes ,Veg,87.32,1.53,2.35,14.52,Snack,Snack
Stuffed baked potatoes ,Veg,100.2,3.82,4.39,11.03,Snack,Snack
Potato nests,Veg,111.62,5.71,4.77,11.05,Snack,Snack
Parsley potato,Veg,119.51,1.49,6.28,13.81,Snack,Snack
Fricassee of Mushroom,Veg,106.66,3.65,6.63,8.13,Snack,Snack
Cauliflower au gratin,Veg,145.9,4.45,10.2,9.13,Snack,Snack
Vegetable and cheese pie,Veg,126.88,4.03,8.28,8.76,Snack,Snack
Spinach souffle ,Veg,150.18,7.36,10.52,6.27,Snack,Snack
Beetroot and egg salad (Chukandar aur ande ka salad),Non-Veg,84.92,3.36,6.45,3.4,Side,Side
Sour cream potato salad,Veg,121.9,2.89,8.13,9.05,Side,Side
Tossed green salad,Veg,49.88,1.33,3.24,3.82,Side,Side
Spring basket salad,Veg,160.46,3.36,11.3,11.61,Side,Side
Cucumber and yogurt salad (Kheere aur dahi ka salad),Veg,36.13,2.09,0.93,4.72,Snack,Snack
Chicken and tomato towers,Non-Veg,100.55,6.9,6.99,2.36,Lunch,Gravy
Chicken and tomato towers,Non-Veg,100.55,6.9,6.99,2.36,Dinner,Gravy
Jellied sunshine fruit salad,Veg,48.86,5.85,0.85,4.21,Side,Side
Tomato aspic,Veg,50.37,6.87,0.26,5.02,Snack,Snack
Frozen frosty fruit salad (Phalon ka salaad),Veg,103.51,1.68,4.17,15.61,Side,Side
Carrot raita (Gajar ka raita),Veg,64.78,4.14,2.19,7.19,Side,Side
Pumpkin raita (Kaddu ka raita),Veg,55.6,3.74,1.88,6.02,Side,Side
Mint and peanut raita (Pudinay aur moongfali ka raita),Veg,112.05,7.05,6.19,7.31,Side,Side
Spinach raita (Palak ka raita),Veg,52.75,3.95,1.86,5.06,Side,Side
Bathua raita,Veg,54.4,4.13,1.76,5.31,Side,Side
Pineapple raita (Ananas ka raita),Veg,67.74,3.9,2.02,8.62,Side,Side
Banana raita (Kele ka raita),Veg,89.03,4.13,2.07,13.51,Side,Side
Mango raita (Aam ka raita),Veg,67.37,3.9,2.14,8.23,Side,Side
Guava raita (Amarood ka raita),Veg,64.36,4.19,2.07,7.27,Side,Side
Grapes raita (Angoor ka raita),Veg,72.59,3.98,2.07,9.66,Side,Side
Bottle gourd kheer (Ghiya/Lauki kheer),Veg,84.07,2.7,3.86,10.0,Snack,Snack
Pumpkin kheer (Kaddu ki kheer),Veg,86.35,2.76,3.86,10.44,Snack,Snack
Apple kheer (Seb ki kheer),Veg,81.3,2.14,3.18,11.34,Snack,Snack
Caramel custard (baked),Veg,122.7,5.11,5.01,14.95,Snack,Snack
Vanilla ice cream without egg,Non-Veg,228.67,2.69,18.15,14.21,Snack,Snack
Vanilla ice cream with egg,Non-Veg,214.85,4.16,17.02,11.71,Snack,Snack
Strawberry ice cream,Veg,215.61,4.15,16.96,12.26,Snack,Snack
Chocochip ice cream,Veg,241.45,4.23,17.93,16.75,Snack,Snack
Choconut ice cream,Veg,273.96,5.04,18.49,23.13,Snack,Snack
Pear chocholate sunday,Veg,183.49,2.08,13.11,15.02,Snack,Snack
Coffee ice cream,Veg,150.62,3.15,9.43,14.09,Snack,Snack
Coffee pear alaska,Veg,203.99,2.88,13.22,19.36,Side,Beverage
Peach melba ice cream,Veg,200.85,2.06,14.51,16.31,Snack,Snack
Vanilla ice cream with apples in hot cherry sauce,Veg,196.32,1.73,11.45,22.75,Snack,Snack
Grape and orange whip,Veg,57.39,1.41,2.62,6.72,Snack,Snack
Fruit delight,Veg,107.09,2.09,7.09,9.11,Snack,Snack
Cold lemon souffle,Veg,169.87,5.89,9.78,15.62,Snack,Snack
Cold orange souffle,Veg,173.19,5.94,9.82,16.27,Snack,Snack
Cold pineapple souffle,Veg,181.22,6.23,10.39,16.85,Snack,Snack
Cold vanilla souffle,Veg,179.54,6.22,10.32,16.29,Snack,Snack
Cold chocolate souffle,Veg,187.53,6.37,10.86,17.22,Snack,Snack
Stewed fruit (with pear),Veg,74.32,0.25,0.32,18.22,Lunch,Gravy
Stewed fruit (with pear),Veg,74.32,0.25,0.32,18.22,Dinner,Gravy
Apricot fool,Veg,240.79,1.54,11.35,33.64,Snack,Snack
Pavlova,Veg,200.6,1.84,12.29,21.84,Snack,Snack
Apple crumb pudding,Veg,220.85,1.54,8.87,35.17,Snack,Snack
Hot lemon souffle,Veg,155.25,5.29,7.93,16.31,Snack,Snack
Chum chum,Veg,130.05,1.52,1.92,28.27,Snack,Snack
Dil bahar,Veg,130.05,1.52,1.92,28.27,Snack,Snack
Rasbhari,Veg,130.05,1.52,1.92,28.27,Snack,Snack
Rajbogh,Veg,133.7,1.71,2.28,28.16,Snack,Snack
Rasgulla,Veg,118.64,1.38,1.75,25.79,Snack,Snack
Rasmalai,Veg,135.55,1.61,2.11,29.17,Snack,Snack
Khoa coconut burfi,Veg,411.45,9.98,26.01,36.55,Snack,Snack
Danedar burfi,Veg,102.68,3.24,4.72,12.33,Snack,Snack
Semolina burfi (Suji/Rava burfi),Veg,348.67,3.47,16.86,47.1,Snack,Snack
Pumpkin coconut burfi (Kaddu aur nariyal ki burfi),Veg,186.18,1.75,12.66,17.02,Snack,Snack
Khoa ladoo,Veg,396.02,12.21,24.09,34.43,Snack,Snack
Semolina ladoo with nuts (Suji/Rava ladoo with nuts),Veg,441.84,5.44,25.45,48.02,Snack,Snack
Sesame chickpeas brittle (Til aur channe ki chikki),Veg,282.74,8.5,4.66,50.49,Snack,Snack
Murmura chikki,Veg,253.82,2.12,0.32,59.59,Snack,Snack
Chicken pakora/pakoda,Non-Veg,590.09,6.03,60.98,4.55,Snack,Snack
Fish pakora/pakoda,Non-Veg,577.03,5.97,59.52,4.55,Snack,Snack
Paneer cutlet,Veg,672.2,4.59,69.38,7.62,Snack,Snack
Sago cutlet/vadas (Sabudana cutlet/vadas),Veg,558.76,0.56,56.97,11.23,Snack,Snack
Poshtik cutlet,Veg,496.45,2.0,50.94,7.39,Snack,Snack
Egg cutlet (Anda cutlet),Non-Veg,575.02,2.45,60.25,5.77,Snack,Snack
Minced meat cutlet,Non-Veg,531.86,5.1,54.47,5.61,Snack,Snack
Vegetable samosa,Veg,443.11,2.21,42.22,13.22,Snack,Snack
Plain urad dal vada (Uzunne vada/Minapa garelu/Ulundu vadai/Medu vada),Veg,745.5,4.39,76.32,9.7,Snack,Snack
Masala urad dal vada,Veg,703.78,4.32,71.62,9.93,Snack,Snack
Khaman (dhokla),Non-Veg,54.73,1.92,2.8,5.36,Snack,Snack
Instant dhokla,Veg,207.11,7.66,9.37,24.11,Snack,Snack
Tomato ginger chutney (Tamatar adarak ki chutney),Veg,44.66,1.05,0.32,9.11,Side,Side
Mint tomato chutney (Pudinay aur tamatar ki chutney),Veg,43.65,1.53,0.36,8.22,Side,Side
Coriander chutney (Hare dhaniye ki chutney),Veg,42.86,1.38,0.37,8.16,Side,Side
Gooseberry chutney (Amla chutney),Veg,43.02,1.44,0.62,8.83,Side,Side
Walnut chutney (Akhrot ki chutney),Veg,370.43,9.44,33.46,8.91,Side,Side
Saunth/Sonth chutney with ginger,Veg,84.22,0.28,0.11,20.62,Side,Side
Dessicated coconut chutney (Sookhe kase nariyal ki chutney) ,Veg,346.36,12.88,15.88,36.72,Side,Side
Tomato and cucumber sandwich (Tamatar aur kheere ka sandwich),Veg,150.68,4.03,6.31,20.51,Snack,Snack
Tomato sandwich (grilled),Veg,189.92,6.26,9.39,21.29,Snack,Snack
French sandwich (toasted),Veg,186.75,6.82,11.51,14.82,Snack,Snack
Mint and peanut sandwich,Veg,273.59,7.18,13.88,31.83,Snack,Snack
Spicy chutney sandwich,Veg,249.58,8.74,9.58,34.03,Snack,Snack
Chicken walnut sandwich (Chicken aur akhrot ke sandwich),Non-Veg,285.78,12.58,16.77,22.62,Snack,Snack
Rolled sandwich,Veg,293.07,6.45,15.29,34.69,Snack,Snack
Ribbon sandwich,Veg,239.26,6.26,13.37,24.76,Snack,Snack
Checker board sandwich,Veg,348.37,7.37,24.65,25.94,Snack,Snack
Submarine sandwich,Veg,216.92,6.09,15.32,13.6,Snack,Snack
Cheese open sandwich,Veg,274.07,9.84,14.24,28.42,Snack,Snack
Sunset and sunrise open sandwich,Veg,241.31,8.58,15.14,18.89,Snack,Snack
Danish luncheon sandwich,Veg,193.82,9.03,10.1,17.77,Snack,Snack
Chicken and corn open sandwich,Non-Veg,188.16,8.63,8.83,19.21,Snack,Snack
Chocolate sponge cake,Veg,239.86,9.13,5.51,39.54,Snack,Snack
Chocolate swiss roll,Veg,306.08,6.01,19.76,26.97,Snack,Snack
Chocolate pastry,Veg,243.37,7.05,10.12,32.24,Snack,Snack
Assorted pastry,Veg,230.74,6.78,8.91,31.99,Snack,Snack
Orange gateau,Veg,178.05,4.78,6.02,27.01,Side,Beverage
Black forest gateau,Veg,217.82,5.94,8.58,30.57,Side,Beverage
Lemon cake,Veg,373.85,5.29,20.63,43.1,Snack,Snack
Dundee cake,Veg,396.62,7.78,22.7,41.4,Snack,Snack
Victorian sandwich cake,Veg,373.09,5.18,19.83,44.74,Snack,Snack
Chocolate eggless cake,Non-Veg,312.01,6.66,13.19,43.45,Snack,Snack
Orange eggless cake,Non-Veg,355.62,7.16,13.82,52.65,Snack,Snack
Almond biscuit (Badam ke biscuit),Veg,407.74,6.25,19.7,52.14,Snack,Snack
Orange biscuit,Veg,354.78,3.63,11.01,62.11,Snack,Snack
Gingerman biscuit,Veg,357.43,6.26,12.73,55.24,Snack,Snack
Coffee drops,Veg,443.07,7.57,27.16,43.06,Side,Beverage
Christmas biscuit,Veg,406.07,5.67,15.88,60.97,Snack,Snack
Christmas wreath biscuit,Veg,386.05,5.43,15.01,58.07,Snack,Snack
Christmas bell biscuit,Veg,404.85,5.66,15.84,60.79,Snack,Snack
Christmas star biscuit,Veg,392.03,3.54,10.04,74.54,Snack,Snack
Christmas tree biscuit,Veg,385.63,5.43,15.0,58.41,Snack,Snack
Cherry and walnut cookies,Veg,422.6,5.63,18.75,59.35,Snack,Snack
Flan pastry,Veg,445.8,6.72,25.04,47.84,Snack,Snack
Fruit flan,Veg,261.35,3.3,12.48,34.71,Snack,Snack
Apple banana pie,Veg,243.99,3.13,11.39,32.12,Snack,Snack
Lemon chiffon pie,Veg,259.31,4.88,14.52,27.63,Snack,Snack
Orange chiffon pie,Veg,207.57,3.89,11.16,23.14,Snack,Snack
Savoury puffs,Veg,190.79,9.51,15.24,10.8,Snack,Snack
Choux swans,Veg,216.34,4.35,15.6,14.92,Snack,Snack
Potato aigrettes,Veg,530.03,2.35,54.24,8.01,Snack,Snack
Savoury cheese horns,Veg,295.15,5.66,20.71,21.38,Snack,Snack
Paneer patties,Veg,338.58,7.6,23.96,22.79,Lunch,Gravy
Paneer patties,Veg,338.58,7.6,23.96,22.79,Dinner,Gravy
Vegetable patties ,Veg,261.92,4.01,17.74,20.98,Snack,Snack
Pearl millet infant food (Bajra shishu aahaar),Veg,362.44,11.98,6.62,62.1,Snack,Snack
Sajina,Veg,345.26,10.81,3.03,66.87,Snack,Snack
Cereal mix ,Veg,120.81,3.32,2.02,21.84,Breakfast,Breakfast
Pulse mix,Veg,83.29,3.16,0.54,16.0,Snack,Snack
Shishu ahar,Veg,93.37,2.61,1.43,17.42,Snack,Snack
Rice dal porridge (Chawal dal ki khichdi/khichri),Veg,383.33,10.8,8.33,65.04,Lunch,Complete
Rice dal porridge (Chawal dal ki khichdi/khichri),Veg,383.33,10.8,8.33,65.04,Dinner,Complete
Lentils and semolina porridge (Dal suji porridge/daliya),Veg,117.29,3.26,1.06,23.19,Lunch,Complete
Lentils and semolina porridge (Dal suji porridge/daliya),Veg,117.29,3.26,1.06,23.19,Dinner,Complete
Spinach khichri (Palak khichri/khichdi),Veg,102.18,3.43,1.91,17.35,Lunch,Complete
Spinach khichri (Palak khichri/khichdi),Veg,102.18,3.43,1.91,17.35,Dinner,Complete
Vegetable mix,Veg,174.21,4.7,0.94,36.02,Snack,Snack
Lentils and wheat porridge (Dal wheat porridge/daliya ),Veg,52.54,2.71,0.94,8.36,Lunch,Complete
Lentils and wheat porridge (Dal wheat porridge/daliya ),Veg,52.54,2.71,0.94,8.36,Dinner,Complete
Maize porridge,Veg,89.57,2.14,1.89,15.64,Snack,Snack
Spinach peanut burfi (Palak aur mungfali ki burfi),Veg,105.37,3.36,4.39,13.59,Snack,Snack
Split bengal gram burfi/fudge (Channa dal burfi),Veg,287.36,4.65,7.09,54.63,Snack,Snack
Pearl millet mathri (Bajra mathri),Veg,785.08,1.82,83.12,7.42,Snack,Snack
Sesame biscuit (Til ke biscuit),Veg,424.03,8.27,19.34,53.65,Snack,Snack
Fermented bengal gram vada (Khameerikrit/Ufna hua channa dal ka vada),Non-Veg,657.57,4.05,67.19,8.68,Snack,Snack
Poshtik namak paras,Veg,613.39,6.49,56.58,19.52,Snack,Snack
Soya chikki,Veg,423.7,7.18,15.51,62.89,Snack,Snack
Besan bathua chilla/cheela,Veg,373.82,11.48,18.57,40.65,Breakfast,Breakfast
Atta dal burfi ,Veg,298.8,6.66,12.47,40.64,Snack,Snack
Soya roti,Veg,283.96,9.18,9.23,40.03,Breakfast,Breakfast
Poshtik khichdi/khichri,Veg,93.37,3.04,1.88,15.64,Lunch,Complete
Poshtik khichdi/khichri,Veg,93.37,3.04,1.88,15.64,Dinner,Complete
Namkeen daliya,Veg,295.11,8.29,7.99,49.32,Lunch,Complete
Namkeen daliya,Veg,295.11,8.29,7.99,49.32,Dinner,Complete
Sprouts upma ,Veg,316.25,9.5,10.44,44.96,Breakfast,Breakfast
Semolina idli (Suji/Rava idli),Veg,206.39,9.34,3.47,33.67,Breakfast,Breakfast
Poshtik chilla/cheela,Veg,159.53,4.85,3.04,27.47,Breakfast,Breakfast
Stuffed bittergourd (dry) (Bharwa karela),Veg,217.65,1.29,22.38,2.49,Lunch,Dry
Stuffed bittergourd (dry) (Bharwa karela),Veg,217.65,1.29,22.38,2.49,Dinner,Dry
Cauliflower potato canjee,Veg,16.79,0.57,0.39,2.63,Snack,Snack
Mango milkshake with ice cream (Aam milkshake ice cream ke saath),Veg,68.35,1.93,2.8,9.18,Snack,Snack
Pineapple milkshake with ice cream (Ananas milkshake ice cream ke saath),Veg,68.49,1.93,2.75,9.33,Snack,Snack
Orange milkshake with ice cream (Narangi milkshake ice cream ke saath),Veg,67.82,1.95,2.75,9.15,Snack,Snack
Woodapple juice (Bel ka sharbat),Veg,34.18,0.63,0.7,6.51,Side,Beverage
Sattu drink,Veg,23.38,0.56,0.14,5.16,Side,Beverage
Apple and honey sorbet (Seb aur shehad ka sharbat),Veg,121.3,0.15,0.29,30.74,Snack,Snack
Thandai,Veg,101.18,3.59,5.89,9.13,Side,Beverage
Cucumber sharbat (Kheere ka sharbat),Veg,27.28,0.26,0.06,6.64,Snack,Snack
Apple oats chia seed smoothie,Veg,85.64,3.49,2.48,13.07,Side,Beverage
Nannari sharbat,Veg,88.79,0.01,0.01,23.62,Snack,Snack
Semolina milk drink (Thari kanji),Veg,44.16,0.98,1.36,6.93,Side,Beverage
Saffron milk (Kesariya doodh),Veg,102.18,3.17,4.57,12.64,Side,Beverage
Black rice kheer (Chak-hao kheer),Veg,147.94,4.37,4.91,22.93,Snack,Snack
Coconut kheer (Nariyal ki kheer),Veg,162.61,3.4,10.55,14.42,Snack,Snack
Apple sago payasam (Seb aur sabudana ki kheer),Veg,136.5,3.13,7.66,14.4,Snack,Snack
Kesari bath,Veg,244.57,2.4,12.59,31.38,Snack,Snack
Putharekulu,Veg,318.3,3.66,7.55,59.61,Snack,Snack
Mango malpua,Veg,334.64,1.65,30.67,12.84,Snack,Snack
Mango vanilla custard,Veg,147.63,3.43,7.04,18.41,Snack,Snack
Kiwi granola pudding,Veg,280.99,5.6,15.36,32.33,Snack,Snack
Oats burfi,Veg,425.19,8.89,17.27,62.47,Snack,Snack
Lotus seed halwa (Kamal gattay ka halwa),Veg,370.55,7.79,20.69,39.56,Snack,Snack
Amaranth ladoo (Rajgira ladoo),Veg,454.15,10.12,22.7,51.33,Snack,Snack
Chhena poda,Veg,344.57,13.68,17.94,33.64,Snack,Snack
Sweet couscous dessert,Veg,196.2,3.81,7.69,29.69,Snack,Snack
Sweetened yogurt (Shrikhand),Veg,107.18,5.27,2.89,16.02,Snack,Snack
Thickened sweetened milk (Rabri),Veg,102.79,3.52,5.35,10.55,Snack,Snack
Watercress sandwich,Veg,229.42,5.17,11.47,28.03,Snack,Snack
Fish sandwich ,Non-Veg,150.2,4.72,10.37,10.09,Snack,Snack
Kidney bean sandwich with cottage cheese,Veg,176.64,9.85,6.84,18.86,Snack,Snack
Finger millet biscuit (Ragi biscuit),Veg,458.56,4.03,25.79,52.69,Snack,Snack
Buttermilk biscuit,Veg,322.54,5.76,17.5,34.93,Snack,Snack
Lemon cookies,Veg,394.48,5.63,23.02,42.19,Snack,Snack
Sweet potato biscuit (Shakarkand ke biscuit),Veg,296.4,5.14,13.31,38.13,Snack,Snack
Raspberry shortbread cookies,Veg,441.12,3.0,21.25,61.25,Snack,Snack
Pumpkin cookies ,Veg,218.4,2.51,3.93,44.69,Snack,Snack
Greenpea cookies,Veg,159.42,6.53,4.24,23.07,Snack,Snack
Sunflower cookies,Veg,520.62,9.49,36.28,40.06,Snack,Snack
Cardamom cookies (Elaichi cookies),Veg,400.49,5.1,19.12,53.99,Snack,Snack
Hazelnut cookies,Veg,493.32,6.25,34.97,39.44,Snack,Snack
Milk cookies,Veg,459.43,10.49,24.96,48.43,Snack,Snack
Cranberry cookies,Veg,272.48,3.92,12.66,36.39,Snack,Snack
Olive biscuit,Veg,438.29,3.2,23.75,55.01,Snack,Snack
Tutti fruitti biscuit,Veg,420.78,5.21,17.9,53.12,Snack,Snack
Peach blueberry preserves,Veg,177.38,0.53,0.2,45.76,Snack,Snack
Pear preserves (Naashpati ka murabba),Veg,101.24,0.25,0.19,25.67,Snack,Snack
Starfruit preserves ,Veg,128.93,0.24,0.12,33.62,Snack,Snack
Gooseberry pickle (Amla ka achaar),Veg,278.58,1.55,27.61,7.61,Side,Side
Lotus stem pickle (Kamal kakdi ka achar),Veg,102.69,1.44,1.6,20.07,Side,Side
Date pickle (Khajoor ka achaar),Veg,182.29,1.68,4.21,34.66,Side,Side
Garlic pickle (Lahasun ka achar),Veg,413.62,3.72,39.88,9.75,Side,Side
Fermented bamboo shoot pickle (Mesu pickle),Veg,59.83,1.58,5.59,1.73,Side,Side
Sweet peach pickle (Aadoo ka achaar),Veg,144.64,0.46,0.2,37.01,Snack,Snack
Pickled mustard greens ,Veg,13.12,1.51,0.22,1.05,Side,Side
Small onion pickle ,Veg,16.86,1.65,0.64,2.76,Side,Side
Green tomato pickle (Haray tamatar ka achaar),Veg,193.26,1.23,19.67,2.87,Side,Side
Pickled cabbage ,Veg,13.69,0.39,0.14,2.56,Side,Side
Coconut pickle (Nariyal ka aachar),Veg,517.26,3.02,51.71,11.53,Side,Side
Potato pickle (Aloo ka achaar),Veg,369.14,2.07,36.46,7.87,Side,Side
Mango murabba candy,Veg,293.35,0.27,0.05,77.32,Snack,Snack
Afghani chicken,Non-Veg,151.51,15.66,9.07,1.95,Lunch,Gravy
Afghani chicken,Non-Veg,151.51,15.66,9.07,1.95,Dinner,Gravy
Fish orly,Non-Veg,563.7,5.87,58.18,4.27,Lunch,Gravy
Fish orly,Non-Veg,563.7,5.87,58.18,4.27,Dinner,Gravy
Hariyali Fish Tikka,Non-Veg,150.24,14.01,9.41,2.21,Lunch,Gravy
Hariyali Fish Tikka,Non-Veg,150.24,14.01,9.41,2.21,Dinner,Gravy
Chicken manchurian,Non-Veg,142.34,9.53,11.96,6.06,Snack,Snack
Handi chicken,Non-Veg,166.02,12.32,12.46,1.49,Lunch,Gravy
Handi chicken,Non-Veg,166.02,12.32,12.46,1.49,Dinner,Gravy
Lemon chicken,Non-Veg,169.79,20.2,9.66,0.55,Lunch,Gravy
Lemon chicken,Non-Veg,169.79,20.2,9.66,0.55,Dinner,Gravy
Egg in a pepper,Non-Veg,128.78,12.64,8.68,0.17,Snack,Snack
Spinach mushroom scrambled egg (Palak mushroom bhurji),Non-Veg,158.85,13.28,11.51,0.59,Breakfast,Breakfast
Corn omelette/omlet,Non-Veg,166.93,11.37,12.89,1.57,Breakfast,Breakfast
Cajun chicken,Non-Veg,184.94,12.69,13.99,1.94,Lunch,Gravy
Cajun chicken,Non-Veg,184.94,12.69,13.99,1.94,Dinner,Gravy
Paaner do pyaza,Veg,127.7,4.22,10.87,3.41,Lunch,Gravy
Paaner do pyaza,Veg,127.7,4.22,10.87,3.41,Dinner,Gravy
Cabbage manchurian (Pattagobhi manchurian),Veg,224.26,0.64,22.48,4.85,Snack,Snack
Gobi 65,Veg,278.29,0.56,29.11,3.59,Snack,Snack
Paneer lababdar,Veg,105.48,3.98,8.46,3.37,Lunch,Gravy
Paneer lababdar,Veg,105.48,3.98,8.46,3.37,Dinner,Gravy
Roasted cauliflower steak,Veg,78.68,2.05,6.7,2.02,Side,Beverage
Sauteed radishes with green beans,Veg,94.32,2.41,6.61,6.04,Lunch,Dry
Sauteed radishes with green beans,Veg,94.32,2.41,6.61,6.04,Dinner,Dry
